##
## Scale offsets for 7TeV Jun21 rereco and regression v8
## https://hypernews.cern.ch/HyperNews/CMS/get/higgs2g/1308.html
## 

EBLowEtaBad 0 0 1 -999.00 0.94 160404 165547 0.0039 0.0002
EBLowEtaBad 0 0 1 -999.00 0.94 165548 167042 0.0029 0.0002
EBLowEtaBad 0 0 1 -999.00 0.94 167043 172400 0.0026 0.0002
EBLowEtaBad 0 0 1 -999.00 0.94 172401 173663 0.0024 0.0002
EBLowEtaBad 0 0 1 -999.00 0.94 173664 176840 0.0036 0.0002
EBLowEtaBad 0 0 1 -999.00 0.94 176841 177775 0.0029 0.0001
EBLowEtaBad 0 0 1 -999.00 0.94 177776 178723 0.0038 0.0002
EBLowEtaBad 0 0 1 -999.00 0.94 178724 180252 0.0039 0.0002

EBLowEtaGold 0 0 1 0.94 999.00 160404 165547 0.0071 0.0002
EBLowEtaGold 0 0 1 0.94 999.00 165548 167042 0.0061 0.0002
EBLowEtaGold 0 0 1 0.94 999.00 167043 172400 0.0058 0.0002
EBLowEtaGold 0 0 1 0.94 999.00 172401 173663 0.0056 0.0002
EBLowEtaGold 0 0 1 0.94 999.00 173664 176840 0.0068 0.0002
EBLowEtaGold 0 0 1 0.94 999.00 176841 177775 0.0061 0.0001
EBLowEtaGold 0 0 1 0.94 999.00 177776 178723 0.0071 0.0002
EBLowEtaGold 0 0 1 0.94 999.00 178724 180252 0.0071 0.0002

EBHighEtaBad 0 1 1.5 -999.00 0.94 160404 165547 0.0019 0.0008
EBHighEtaBad 0 1 1.5 -999.00 0.94 165548 167042 0.0027 0.0006
EBHighEtaBad 0 1 1.5 -999.00 0.94 167043 172400 0.0019 0.0006
EBHighEtaBad 0 1 1.5 -999.00 0.94 172401 173663 0.002 0.0006
EBHighEtaBad 0 1 1.5 -999.00 0.94 173664 176840 0.0048 0.0006
EBHighEtaBad 0 1 1.5 -999.00 0.94 176841 177775 0.0035 0.0006
EBHighEtaBad 0 1 1.5 -999.00 0.94 177776 178723 0.0036 0.0006
EBHighEtaBad 0 1 1.5 -999.00 0.94 178724 180252 0.0035 0.0006

EBHighEtaGold 0 1 1.5 0.94 999.00 160404 165547 0.0117 0.0009
EBHighEtaGold 0 1 1.5 0.94 999.00 165548 167042 0.0124 0.0007
EBHighEtaGold 0 1 1.5 0.94 999.00 167043 172400 0.0117 0.0007
EBHighEtaGold 0 1 1.5 0.94 999.00 172401 173663 0.0117 0.0007
EBHighEtaGold 0 1 1.5 0.94 999.00 173664 176840 0.0146 0.0007
EBHighEtaGold 0 1 1.5 0.94 999.00 176841 177775 0.0132 0.0007
EBHighEtaGold 0 1 1.5 0.94 999.00 177776 178723 0.0133 0.0007
EBHighEtaGold 0 1 1.5 0.94 999.00 178724 180252 0.0132 0.0007

EELowEtaBad 0 1.5 2 -999.00 0.94 160404 165547 0.0039 0.0011
EELowEtaBad 0 1.5 2 -999.00 0.94 165548 167042 0.0027 0.0008
EELowEtaBad 0 1.5 2 -999.00 0.94 167043 172400 0.0027 0.0008
EELowEtaBad 0 1.5 2 -999.00 0.94 172401 173663 0.0027 0.0008
EELowEtaBad 0 1.5 2 -999.00 0.94 173664 176840 0.0015 0.0008
EELowEtaBad 0 1.5 2 -999.00 0.94 176841 177775 0.0025 0.0008
EELowEtaBad 0 1.5 2 -999.00 0.94 177776 178723 0.0031 0.0008
EELowEtaBad 0 1.5 2 -999.00 0.94 178724 180252 0.0038 0.0008

EELowEtaGold 0 1.5 2 0.94 999.00 160404 165547 0.0056 0.0012
EELowEtaGold 0 1.5 2 0.94 999.00 165548 167042 0.0044 0.0009
EELowEtaGold 0 1.5 2 0.94 999.00 167043 172400 0.0044 0.0009
EELowEtaGold 0 1.5 2 0.94 999.00 172401 173663 0.0044 0.0009
EELowEtaGold 0 1.5 2 0.94 999.00 173664 176840 0.0032 0.0009
EELowEtaGold 0 1.5 2 0.94 999.00 176841 177775 0.0042 0.0008
EELowEtaGold 0 1.5 2 0.94 999.00 177776 178723 0.0048 0.0009
EELowEtaGold 0 1.5 2 0.94 999.00 178724 180252 0.0055 0.0009

EEHighEtaBad 0 2 3 -999.00 0.94 160404 165547 0.0013 0.0011
EEHighEtaBad 0 2 3 -999.00 0.94 165548 167042 0.0018 0.0008
EEHighEtaBad 0 2 3 -999.00 0.94 167043 172400 0.0007 0.0007
EEHighEtaBad 0 2 3 -999.00 0.94 172401 173663 0.0007 0.0008
EEHighEtaBad 0 2 3 -999.00 0.94 173664 176840 0.0017 0.0007
EEHighEtaBad 0 2 3 -999.00 0.94 176841 177775 0.0006 0.0007
EEHighEtaBad 0 2 3 -999.00 0.94 177776 178723 -0.0006 0.0008
EEHighEtaBad 0 2 3 -999.00 0.94 178724 180252 0.0005 0.0008

EEHighEtaGold 0 2 3 0.94 999.00 160404 165547 0.0059 0.0011
EEHighEtaGold 0 2 3 0.94 999.00 165548 167042 0.0063 0.0007
EEHighEtaGold 0 2 3 0.94 999.00 167043 172400 0.0052 0.0007
EEHighEtaGold 0 2 3 0.94 999.00 172401 173663 0.0052 0.0007
EEHighEtaGold 0 2 3 0.94 999.00 173664 176840 0.0062 0.0007
EEHighEtaGold 0 2 3 0.94 999.00 176841 177775 0.0051 0.0007
EEHighEtaGold 0 2 3 0.94 999.00 177776 178723 0.0039 0.0007
EEHighEtaGold 0 2 3 0.94 999.00 178724 180252 0.005 0.0008
