# category      type(0=any,1=CM,2=GAP) minEta  MaxEta   mr9    Mr9      mrun    Mrun   smear   smearErr    
# These numbers correspond to lisbon update - https://hypernews.cern.ch/HyperNews/CMS/get/higgs2g/960.html

EBlowEtaGoldCM	1 0.0	1.0	0.94	999.00	-999999	999999	0.99e-2	0.14e-2
EBlowEtaGoldGAP	2 0.0	1.0	0.94	999.00	-999999	999999	0.98e-2	0.06e-2

EBlowEtaBadCM  	1 0.0	1.0	-999.00	0.94	-999999	999999	1.13e-2	0.14e-2
EBlowEtaBadGAP  2 0.0	1.0	-999.00	0.94	-999999	999999	0.94e-2	0.05e-2

EBhighEtaGold	  0 1.0	1.5	0.94	999.00	-999999	999999	1.95e-2	0.55e-2
EBhighEtaBad	  0 1.0	1.5	-999.00	0.94	-999999	999999	1.98e-2	0.08e-2

EElowEtaGold	  0 1.5	2.0	0.94	999.00	-999999	999999	2.91e-2	0.26e-2
EElowEtaBad	  0 1.5	2.0	-999.00	0.94	-999999	999999	2.75e-2	0.11e-2

EEhighEtaGold	  0 2.0	3.0	0.94	999.00	-999999	999999	3.25e-2	0.10e-2
EEhighEtaBad	  0 2.0	3.0	-999.00	0.94	-999999	999999	3.56e-2	0.12e-2
