# category      type(0=any,1=CM,2=GAP) minEta  MaxEta   mr9    Mr9      mrun    Mrun   smear   smearErr    
# These numbers correspond to final HCP smearings - https://hypernews.cern.ch/HyperNews/CMS/get/higgs2g/1043.html

EBlowEtaGoldCM	1 0.0	1.0	0.94	999.00	-999999	999999	1.06e-2	0.40e-2
EBlowEtaGoldGAP	2 0.0	1.0	0.94	999.00	-999999	999999	1.08e-2	0.23e-2

EBlowEtaBadCM  	1 0.0	1.0	-999.00	0.94	-999999	999999	1.19e-2	0.12e-2
EBlowEtaBadGAP 	2 0.0	1.0	-999.00	0.94	-999999	999999	1.19e-2	0.12e-2

EBhighEtaGold	  0 1.0	1.5	0.94	999.00	-999999	999999	1.49e-2	0.49e-2
EBhighEtaBad	  0 1.0	1.5	-999.00	0.94	-999999	999999	2.40e-2	0.18e-2

EElowEtaGold	  0 1.5	2.0	0.94	999.00	-999999	999999	3.75e-2	0.52e-2
EElowEtaBad	  0 1.5	2.0	-999.00	0.94	-999999	999999	3.30e-2	0.25e-2

EEhighEtaGold	  0 2.0	3.0	0.94	999.00	-999999	999999	6.07e-2	0.28e-2
EEhighEtaBad	  0 2.0	3.0	-999.00	0.94	-999999	999999	6.02e-2	0.30e-2
